PageRank	Ids
0.006446390110035629	486980
0.004358097349922617	285814
0.00429132451887267	163075
0.004109649916348316	715883
0.003510941312528992	648543
0.0034399359191833174	226374
0.0034346470612690552	555924
0.0033722621185693176	828963
0.0032364746410419865	846221
0.003196314117511998	772466
0.002782883135351575	648441
0.0027346058835181217	582219
0.0026612034000339235	245186
0.0024804755483930773	599130
0.0024791052720701204	483532
0.0024323540633990263	32163
0.00241381282688241	596972
0.002274977720768419	504140
0.0022724752556620223	396321
0.0022402768760727606	804489
0.002124978364892526	543618
0.00206984860254255	818382
0.002054824958174158	915953
0.0020294727562005835	537039
0.0019507211556359745	407610
0.0018664258575578517	173976
0.0018375177364177103	83679
0.0018120262312201622	172133
0.0016794546551839426	41909
0.0016776474167483112	183
0.0016316774905494847	459074
0.001580251565748998	623787
0.0015734657405275692	223236
0.0015389167322027344	438493
0.0015221972365756034	468736
0.0015200969881873513	185821
0.0014586112221308299	448961
0.0014516784945466734	347085
0.0014321798360968734	384666
0.0014291464057705574	7314
0.0014092852609149343	353654
0.0013890088852678204	603849
0.001385368050940357	699754
0.0013753758501751433	544669
0.0013638653224460839	551829
0.0013568696495832766	144662
0.0013481116496351054	330762
0.0013357865624440935	566461
0.001326642912640358	402414
0.0013258181060052476	877491
0.0013180044151683739	399699
0.0013050072502065258	452291
0.001278996867530102	39364
0.0012758207831124215	861477
0.0012705741601853698	114894
0.0012579473081383628	855348
0.0012559048437504338	324502
0.0012525162288878169	721816
0.0012078383194528935	558791
0.001177443009582605	882782
0.0011728736280538017	232639
0.0011502028597967125	138746
0.0011394013611007326	185067
0.0011365504347693202	38839
0.0011237411190126816	712236
0.001122291480165699	905532
0.0011213557690834285	597621
0.0011197995984496662	418155
0.0011158824542197134	666882
0.001096200601248033	213770
0.001077245644365005	823898
0.001077002225887749	885605
0.0010690058234118377	812640
0.001065438039170666	196253
0.001065438039170666	670277
0.0010633110333285588	504165
0.001055516482616826	36292
0.001027412479087079	243947
0.0010233147730124093	540335
0.0010036771196788425	638031
0.0010020608501480446	32701
0.0009866419308250402	687325
0.0009785424432467292	191990
0.0009738199396594854	502888
0.0009730887521696494	10778
0.0009725263263493177	424655
0.0009669213069545206	557124
0.0009640245925615294	443960
0.0009639085599804442	896264
0.0009621541851193946	808295
0.0009621312320613031	24004
0.0009573717555322757	819223
0.0009569317455259302	403482
0.0009467644333059112	870811
0.0009461095605697933	48888
0.0009412604611804183	526892
0.0009333976813431776	622911
0.0009309774825546373	359785
0.0009309774825546373	624323
0.0009309774825546373	713099
0.0009247635711764981	891714
0.0009215532619621983	632380
0.0009172127297692981	97719
0.0009058682296165742	908351
0.0008920837116464949	761488
0.0008882371365762134	394956
0.000886385548735961	71
0.0008806106664867336	721534
0.0008629450072610801	16101
0.0008613874091180548	750938
0.0008472994653297582	901020
0.0008416023270226868	837099
0.0008383010926433256	402132
0.000836479146826341	357645
0.0008360347439849555	3170
0.0008348129554973248	129210
0.0008326138189897484	915633
0.0008263684240233734	140569
0.0008263684240233734	809725
0.0008227929510144527	187455
0.000819915936245648	583330
0.0008168854519635372	20514
0.0008140363679594359	481245
0.0008123824314608736	550293
0.0008089692929786179	679723
0.0008049475319899861	139291
0.0008029735026854885	441386
0.0008011063730717633	736915
0.0007957839001209043	124755
0.0007773474698279522	817693
0.0007646988113392492	320374
0.0007641164575461406	717644
0.0007627772528881592	92604
0.0007605820441104178	874525
0.0007563551730670145	536428
0.0007562156508356648	621670
0.0007547192399105692	871807
0.0007540597445030716	522190
0.0007539528805236477	536068
0.000750558970870308	832147
0.0007362681288367293	211
0.0007238331196816348	494555
0.000700843315804402	78244
0.000697894930216315	182121
0.0006978142785261541	161360
0.0006972745377364434	645609
0.0006958209781204708	201953
0.000694147539652589	466323
0.0006924871338428266	438491
0.000683328008392712	503917
0.0006825949205080765	210170
0.0006822320812750908	860578
0.0006822220477862167	779382
0.0006755122364038514	587935
0.0006721499939911994	762917
0.0006657039213218163	888032
0.0006637470853854927	227011
0.0006620020571010654	614831
0.0006559143103853245	54147
0.0006546620653464379	599265
0.0006539693532232527	646796
0.0006539693532232527	729526
0.0006484834188370005	342537
0.0006396294865218265	556129
0.0006318636028226995	514471
0.0006313042289396379	24340
0.0006300474435092543	460355
0.0006286387353904597	213432
0.0006281196340054715	449181
0.0006254150888207598	605856
0.0006233975720740604	817585
0.0006220155491993681	604596
0.0006141307716141211	484690
0.0006114787943430733	245403
0.0006075457587048016	439155
0.0006071360331995453	645307
0.0006051667662279657	822200
0.0005979445660647884	220242
0.0005945784677102631	855235
0.0005944120499824447	571440
0.0005917675352157064	151110
0.0005840497448718224	550365
0.0005822384712596648	502809
0.0005706332736324535	751501
0.0005701350004798394	200987
0.0005693814448306412	746615
0.0005687192923726232	671193
0.0005653776359192122	610980
0.0005651658039751061	402493
0.0005636191045474352	291879
0.0005551885095765905	23097
0.0005536004255887472	831420
0.0005516326874827204	183501
0.0005482593292894319	686721
0.0005430023292087299	714381
0.0005392082792198558	887268
0.0005386228221825025	234814
0.0005373032223649922	191810
0.0005334696810768686	624300
0.0005305688163402651	564521
0.0005301513526759085	148036
0.0005281626870682022	228196
0.0005266747783522514	639662
0.0005266572271217356	458892
0.0005265565686196256	568104
0.0005259940129145298	116209
0.0005226002287619414	21682
0.000521489038133516	245628
0.0005204001131604398	635117
0.0005195514261654286	9111
0.0005176578013711958	170728
0.0005143186113400917	287235
0.0005127102515790869	839849
0.0005127079636557829	766583
0.0005113738817799656	783196
0.0005102135784636901	147159
0.000508374714728092	212642
0.0005057836491854634	328238
0.0005050959219221742	729831
0.0005049528871359989	705657
0.0005035200881490349	631906
0.0005033431140871035	309540
0.0005017261018868662	155786
0.00049923531580392	210474
0.0004979083977189883	288723
0.0004905820664604283	257091
0.000488592544297634	352975
0.0004867755110604844	860594
0.00048533979770142623	789565
0.000479761888569579	911239
0.00047951161174028236	96059
0.0004782808327781841	913201
0.0004777901635282462	187247
0.0004764439682990667	630973
0.0004740152271408186	654313
0.00047303654907628203	304786
0.000472445634446977	569098
0.0004717937629997681	701326
0.00047040892116157075	357952
0.00046979666490874024	324745
0.00046778008964734727	413309
0.00046559245630477947	573420
0.0004636582870283554	45703
0.000463118644446373	528797
0.00046281672471206906	428360
0.00046233329217625313	407927
0.00046232708482479243	749027
0.0004595507803630588	805946
0.00045748024913552093	99379
0.00045633592689432457	185071
0.0004557491398576008	367053
0.00045566982685839557	745108
0.000455261253603728	915376
0.00045477017693639475	206454
0.00045381918709139294	271199
0.0004504777756891956	874174
0.00044958484585360173	877558
0.00044823987768737017	105019
0.00044810589208743205	821964
0.00044798049994822096	248362
0.0004477604490569076	687543
0.0004477407542203198	509001
0.00044631249719861483	146876
0.0004457798575218331	287318
0.00044496866368870096	637936
0.00044481918959310353	495600
0.00044477639528451207	759364
0.00044445495875588187	738198
0.00044395317883270794	677723
0.00044244076829997225	653315
0.00044195120401467765	319508
0.00044162703963210775	579954
0.0004409656531740873	726843
0.00044072395047736084	85372
0.00044030474731884746	286245
0.00044016964101204723	632357
0.0004401137519808909	437464
0.00043850943048502237	495507
0.000437695051635812	855371
0.00043593067311135724	604497
0.00043573711009901184	216326
0.00043549970733948077	84654
0.00043513000652469657	273081
0.00043506199204638996	790474
0.00043477422005483034	696541
0.00043443221491009813	768865
0.0004341765131997463	359896
0.0004326389668025704	461576
0.00043202492525918165	507927
0.0004316103571614619	24423
0.00042985477638115925	885496
0.00042877401795515037	218709
0.0004285284332046524	291700
0.00042832291882125744	520600
0.00042797973264832346	465384
0.00042722785517348337	363791
0.00042722785517348337	526201
0.0004269726962259753	879017
0.00042583243006505135	685944
0.00042537132078151606	618824
0.00042532998750358873	677084
0.00042482259007176797	347943
